EGreedy,EDecreasing,Hybrid1,Hybrid2,Hybrid3,Hybrid4,Hybrid5
119.6,87.2,81,59,101.2,111.2,109.2
122.4,92.6,88.6,62.8,108.8,118.8,115
130.2,99.8,98.6,67.4,121.2,127.2,123.4
141,109.8,108.6,76.2,130.8,141,135.2
153.4,122.8,120.6,83,145.4,153,149.6
166,127.6,132,88,157,166.6,162.4
180,139.2,142,89.2,162,172.4,168.2
183.2,153.8,154,94.4,171,179.2,175.4
0,0,0,0,0,0,0
5,6.6,1,4.6,2.2,2.8,3.4
4.8,14.2,5.6,10.8,7,7,8.4
4.4,20,12.2,18.4,15,11.2,10.2
4.4,27,20.4,27.2,26,12.6,16.2
5.2,37,30.8,36.2,33,15,20.2
12,44.2,40.2,48.2,38.8,21.8,31.8
24,57.6,51,58.4,45.8,30,42.4
32.8,66.2,59.8,68.6,51.8,36.6,49.2
38.6,80.6,76.8,75.6,56.2,40.6,55.6
45.8,88.8,86,86.8,62,46,63
56,92.2,88.4,100.2,70,53.4,72.6
63.6,98.6,98.4,109.8,73,58.8,80.4
67.8,105.8,104.2,115.6,72.8,56.2,80.4
67.6,113,111,127.6,76.4,53.6,79.4
71.8,117.2,115,134.2,76.6,54.8,82.8
72.4,126.8,124.6,145.4,81.8,58.2,86.8
77.2,133.2,133,157.4,92,61.8,92.6
86.2,140.6,148.2,166,93,64.4,97.2
88.2,150,154.8,176.2,98,65.8,99.8
0,0,0,0,0,0,0
7.6,9.2,8.2,8.8,10.4,8.6,10.2
12.4,11.6,11.2,13.6,17,18.8,13.2
21.4,18.4,14,13.4,20.2,31.8,21
32,23.2,20,19.2,25.2,41.8,32
38,36.2,34,32.4,32.8,48.4,36.4
42.2,41.4,39.2,38.4,42.2,56,47
46.8,54.6,46.4,48.8,47.6,70.8,59.2
55,64.8,54.6,51.8,55,82.2,72.8
65.2,68,57.6,59.6,53.8,89.4,79.2
64.6,78.2,66,68.8,63.8,95.4,85.4
72.2,84.4,72.2,81.6,72.2,106.4,97.4
82.6,91.2,79,88.4,74.6,117.8,109.4
86.4,103.4,91.4,103,83.2,128,116.6
96.6,108,94.6,118,91.2,141.6,131
108.2,120.6,103.4,124.2,97.6,153.4,142.8
115.8,127.4,115,132.6,100.6,160.4,150
119.2,135.6,127,140.4,104.2,169.4,159.8
124.2,145.2,135.2,148.2,106.8,176.2,166.4
126.8,158.8,148.8,161.6,111.4,187,175
0,0,0,0,0,0,0
7.2,-3,-0.8,-1.4,0.2,-0.8,3.2
17,4.2,3.6,3.2,9.6,7.8,7.4
25,14,12.4,12.2,15.4,15.8,9.6
26.2,16.8,14.6,15.8,17.4,17.4,12.8
30.4,24,24,25.6,28.4,24,16.8
36,31.2,33,37.4,41,32.8,24.4
37.8,39,41.8,45.6,55.2,38,28.2
43.6,40.6,42.4,49,61.8,48.2,38.6
50.8,51,50.2,50.8,69.4,55.4,45.6
56.6,56.8,56,55.2,77.6,60.6,51
58,58.4,58.8,58,82.2,63.4,56
55.8,66.2,66.4,63.2,90.8,68.4,61
65.6,66.2,68,71.8,104.6,75.6,66.8
70,67.6,68.2,74.6,111.4,82.8,73
74,72.8,78.2,79,117.2,84.4,76.2
77.8,85,84.8,89.8,130.2,93,83.4
85.8,88.6,91,98.2,142.4,102.6,93.2
92.2,94.4,95.6,109.6,159.2,112,101.8
100,107.6,104.4,113.4,166.4,118.2,110.6
0.2,0.2,0.2,0.2,0.2,0.2,0.2
2.2,5.2,0.8,-0.6,2.8,-0.6,1.2
9,12.2,3.2,1.4,8.8,7.2,5.6
16.8,16.6,7.2,6.2,17.2,11.8,9.2
20,19,6.6,13.4,29.4,18.4,16.2
26.6,23.2,8,19.6,40.6,21,22.6
28.2,32.8,17.2,27,50.6,22.8,22
30,43.6,24.6,37,58.8,28.2,24.2
37.4,54.4,33.6,52.6,74,35.8,30.4
48,64.6,41.6,60,89.8,44.8,38.6
53,70.4,48.4,67.4,96.4,50,42.8
59.2,73.6,51.8,71.2,103.2,56.8,47
63.4,86.6,62.6,74.4,112.6,59.2,49.8
68.2,90.2,65.8,83,123.8,67.4,54.4
75.2,98.6,73.2,90.6,134.2,75.2,60
84.2,101.4,75,102,150,83.8,67.2
95,106.8,82.4,101.8,153.4,89.8,71.4
96.4,119,89,108.2,163.4,93.2,73.2
100.6,126,96.2,114.2,174.2,99.6,77.6
109.2,135.2,95.6,118.6,180.6,102.4,80.8
0,0,0,0,0,0,0
5,4,8.2,4.4,5.8,7.2,4.6
13.4,15.6,18.6,14.8,20.6,19.6,14.6
19,21,22.6,19,26.4,24.4,19.8
25.8,29,31,30,36.4,32,27.6
32,33.4,38,36.6,37.8,37,26.2
36,40.2,45.4,46.8,47.8,47,31.2
37.2,49.6,54.6,59.2,60,59.4,36.6
43.8,56.8,64.2,67.8,68,71.8,45.2
54,68.6,74.4,76.4,78.8,85,52.6
59.8,80.2,87,85,83.8,100.2,61.2
66.2,87.8,94.4,96,94.6,104.4,60.2
72.8,91,98,107.2,104.2,118.6,67.8
77.2,97.2,103.8,116.2,110.4,124.2,70.6
79.2,113.6,113.2,131,127.8,139.6,79.2
93.6,121.6,121.6,145.4,142,155.2,92.2
104,125,128,156.6,152.4,165.4,98.8
110.4,134,132.8,168.8,165,176.4,105.2
118,146.4,139.8,173,170.8,190.2,114.6
122.4,160,145.2,186.2,182,193.6,114
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
7,5.4,5.6,6.4,7,4.6,7.8
17.4,6.8,9.2,7.6,7,5.4,8.8
20.8,17.4,23.2,20.6,16.4,11.2,14.4
22.2,23,32.2,33.2,28.2,16.4,22.8
28,29.4,35,38.2,38,23.8,36.8
36.4,32.2,36.6,46,46.2,31,47.6
41,39,45.6,60.6,56.4,37,59.8
46,48.6,51.8,70.6,63.8,43.8,71.4
49.6,62.8,65.2,78.4,73.2,47.2,76.2
53.6,70.8,72.4,81.2,83.4,56,88.4
56.8,84.6,84.2,90.8,89.8,57.2,92.4
59.4,96.4,98.4,97.2,96.4,59.8,95
63,105,107.8,116,115.8,74.8,111.8
76.2,114.8,117.8,135.8,132.6,84.8,128.2
89.4,123.6,121.8,147,146.2,98,145
96.2,135,130.2,157,158,104.4,156.4
101.6,141.6,142,169.2,166.4,111.8,167.4
106.4,154.4,158,180.8,176.6,115.2,177
110.4,161.8,166.8,193.6,192,127.8,191.4
0,0,0,0,0,0,0
1,4.4,2.2,5.2,0,2.8,3
4.8,9.4,8.8,10,4,12.6,12.6
7,26.2,21,21.2,11.4,18.2,18.8
9.6,35.4,34.8,27.6,21.6,28.2,30.4
15.8,49.4,48.2,36.8,29.6,40.6,42.6
24,53.6,53,46.2,38.6,49.2,51.8
32,56.8,59.2,56.4,46,56.6,60.6
39,66.2,64.4,65.6,50.8,66.6,69.8
44.8,74.8,75.2,79.4,58,83,86.4
53.8,84.6,83.8,84,60.4,92,95.8
62.4,95,92.2,93.2,68.2,100.4,104.8
70.4,102.8,98.6,107.6,80.6,113.6,115.2
83,110.8,109,115.4,85.8,127.2,130
89,121.6,120.4,125.6,89.6,135.8,138.2
92,124.6,125,133.4,93.2,144.2,148.2
96.8,140.8,137.2,135.8,91.6,152.2,154.4
96.4,154.2,147.8,148,99.6,154.8,158.8
102.4,163,157,156.2,106.2,166.8,170.2
107.8,167.6,160.8,163,112.2,175,178.8
0,0,0,0,0,0,0
6.6,3.2,8.2,3.2,7.6,4.4,6.4
13,11.8,15.6,12,17.4,14,15.6
16.2,18.6,22,17,27.2,21.8,21.8
23.4,26,32.4,26.4,36.4,37.8,27.2
29.4,32,34.4,33,44.6,43.6,30.4
33.2,35.6,38.8,42.2,51.4,49.4,31.8
39,44.2,46.2,53.4,65.2,57.4,32.2
43.4,53.2,55,60.6,72,70.8,39.4
58,60.6,61.4,70.2,77.6,85.6,49.4
66.8,66.2,66.8,77.8,91.4,97.4,56.2
78.4,83.4,84,86.2,98.2,104.4,58
79.8,96.6,97,101.2,114,117.6,67
92,107.4,110,113,123.6,129.2,73.8
102,120.6,122,121.2,135,140,78.2
107.2,129.4,133.8,131.8,144.6,150,83.4
112.4,138,143.6,138.4,152.4,161.2,86
118,147.6,156.8,150,161,166.8,88.2
