Strategy,MeanRewards
Edecreasing,61.6
Edecreasing,63.6
Edecreasing,75.2
Edecreasing,80.6
Edecreasing,88
Edecreasing,90.6
Edecreasing,100
Edecreasing,107.6
Edecreasing,120.6
Edecreasing,123
Edecreasing,129.8
Edecreasing,138.2
Edecreasing,146.6
Edecreasing,0.2
Edecreasing,6.4
Edecreasing,10.6
Edecreasing,15.8
Edecreasing,20.6
Edecreasing,25.2
Edecreasing,37.2
Edecreasing,42.8
Edecreasing,51.4
Edecreasing,57.8
Edecreasing,67.6
Edecreasing,72
Edecreasing,79.6
Edecreasing,89.8
Edecreasing,102
Edecreasing,113.6
Edecreasing,124.4
Edecreasing,130.8
Edecreasing,134.8
Edecreasing,142.6
Edecreasing,0
Edecreasing,3
Edecreasing,10.2
Edecreasing,15.6
Edecreasing,22.8
Edecreasing,27
Edecreasing,36
Edecreasing,40.6
Edecreasing,51
Edecreasing,56.2
Edecreasing,61.8
Edecreasing,72.4
Edecreasing,82
Edecreasing,96
Edecreasing,107
Edecreasing,120.4
Edecreasing,132.8
Edecreasing,139.6
Edecreasing,147.2
Edecreasing,158.2
Edecreasing,0
Edecreasing,9.2
Edecreasing,13.6
Edecreasing,19
Edecreasing,21
Edecreasing,35.2
Edecreasing,43
Edecreasing,49.6
Edecreasing,60.8
Edecreasing,68.6
Edecreasing,73.8
Edecreasing,81.2
Edecreasing,89
Edecreasing,98.4
Edecreasing,109.4
Edecreasing,119.2
Edecreasing,136.6
Edecreasing,150.4
Edecreasing,163.2
Edecreasing,169
Edecreasing,-0.2
Edecreasing,12.6
Edecreasing,20.4
Edecreasing,27.6
Edecreasing,30
Edecreasing,35.8
Edecreasing,39.2
Edecreasing,45
Edecreasing,54.2
Edecreasing,60.4
Edecreasing,71.2
Edecreasing,81.8
Edecreasing,87.2
Edecreasing,92.6
Edecreasing,99.8
Edecreasing,109.8
Edecreasing,122.8
Edecreasing,127.6
Edecreasing,139.2
Edecreasing,153.8
Edecreasing,0
Edecreasing,6.6
Edecreasing,14.2
Edecreasing,20
Edecreasing,27
Edecreasing,37
Edecreasing,44.2
Edecreasing,57.6
Edecreasing,66.2
Edecreasing,80.6
Edecreasing,88.8
Edecreasing,92.2
Edecreasing,98.6
Edecreasing,105.8
Edecreasing,113
Edecreasing,117.2
Edecreasing,126.8
Edecreasing,133.2
Edecreasing,140.6
Edecreasing,150
Edecreasing,0
Edecreasing,9.2
Edecreasing,11.6
Edecreasing,18.4
Edecreasing,23.2
Edecreasing,36.2
Edecreasing,41.4
Edecreasing,54.6
Edecreasing,64.8
Edecreasing,68
Edecreasing,78.2
Edecreasing,84.4
Edecreasing,91.2
Edecreasing,103.4
Edecreasing,108
Edecreasing,120.6
Edecreasing,127.4
Edecreasing,135.6
Edecreasing,145.2
Edecreasing,158.8
Edecreasing,0
